epoch,step,train_loss,metric_key,metric_value
1,4214,0.4021871365681043,binary/accuracy,0.6534
1,4214,0.4021871365681043,binary/macro_f1,0.39518567799685494
1,4214,0.4021871365681043,binary/weighted_f1,0.5164286440062901
1,4214,0.4021871365681043,binary/precision_macro,0.3267
1,4214,0.4021871365681043,binary/recall_macro,0.5
2,8428,0.38196713425392326,binary/accuracy,0.6534
2,8428,0.38196713425392326,binary/macro_f1,0.39518567799685494
2,8428,0.38196713425392326,binary/weighted_f1,0.5164286440062901
2,8428,0.38196713425392326,binary/precision_macro,0.3267
2,8428,0.38196713425392326,binary/recall_macro,0.5
3,12642,0.3545744357056877,binary/accuracy,0.6566
3,12642,0.3545744357056877,binary/macro_f1,0.41454366286989536
3,12642,0.3545744357056877,binary/weighted_f1,0.5300380395907602
3,12642,0.3545744357056877,binary/precision_macro,0.6552375474162055
3,12642,0.3545744357056877,binary/recall_macro,0.5070547578285081
4,16856,0.3034471534546173,binary/accuracy,0.6682
4,16856,0.3034471534546173,binary/macro_f1,0.515182162631223
4,16856,0.3034471534546173,binary/weighted_f1,0.5987454814363863
4,16856,0.3034471534546173,binary/precision_macro,0.6289002786222333
4,16856,0.3034471534546173,binary/recall_macro,0.5473607713286672
5,21070,0.22762702078053282,binary/accuracy,0.6668
5,21070,0.22762702078053282,binary/macro_f1,0.5504117429646184
5,21070,0.22762702078053282,binary/weighted_f1,0.6205923979537203
5,21070,0.22762702078053282,binary/precision_macro,0.6167493081945276
5,21070,0.22762702078053282,binary/recall_macro,0.5637652645993411
6,25284,0.15775484482014723,binary/accuracy,0.6612
6,25284,0.15775484482014723,binary/macro_f1,0.5586679797206113
6,25284,0.15775484482014723,binary/weighted_f1,0.6239310996826787
6,25284,0.15775484482014723,binary/precision_macro,0.6062960368686438
6,25284,0.15775484482014723,binary/recall_macro,0.5666599725771945
7,29498,0.11357243221851974,binary/accuracy,0.6536
7,29498,0.11357243221851974,binary/macro_f1,0.5286952739564845
7,29498,0.11357243221851974,binary/weighted_f1,0.603133444022822
7,29498,0.11357243221851974,binary/precision_macro,0.5894598912941147
7,29498,0.11357243221851974,binary/recall_macro,0.5471616265824942
8,33712,0.08851245768552315,binary/accuracy,0.66
8,33712,0.08851245768552315,binary/macro_f1,0.5402248116760828
8,33712,0.08851245768552315,binary/weighted_f1,0.6122213394538607
8,33712,0.08851245768552315,binary/precision_macro,0.6029620321335607
8,33712,0.08851245768552315,binary/recall_macro,0.5557168142280664
9,37926,0.07271731561419453,binary/accuracy,0.6564
9,37926,0.07271731561419453,binary/macro_f1,0.533808490481661
9,37926,0.07271731561419453,binary/weighted_f1,0.6071530207473131
9,37926,0.07271731561419453,binary/precision_macro,0.5954552963114628
9,37926,0.07271731561419453,binary/recall_macro,0.5509299220677283
10,42140,0.0639520066452909,binary/accuracy,0.6596
10,42140,0.0639520066452909,binary/macro_f1,0.5347667546837671
10,42140,0.0639520066452909,binary/weighted_f1,0.6087027385892116
10,42140,0.0639520066452909,binary/precision_macro,0.6019518422125343
10,42140,0.0639520066452909,binary/recall_macro,0.5527012947146189
11,46354,0.056257284071175064,binary/accuracy,0.6594
11,46354,0.056257284071175064,binary/macro_f1,0.5367164080358131
11,46354,0.056257284071175064,binary/weighted_f1,0.6098592879709327
11,46354,0.056257284071175064,binary/precision_macro,0.6016104463847108
11,46354,0.056257284071175064,binary/recall_macro,0.553632020426334
