epoch,step,train_loss,metric_key,metric_value
1,4214,1.979468502871618,binary/accuracy,0.6556
1,4214,1.979468502871618,binary/macro_f1,0.41463358918128657
1,4214,1.979468502871618,binary/weighted_f1,0.5298587993421052
1,4214,1.979468502871618,binary/precision_macro,0.6247826042213371
1,4214,1.979468502871618,binary/recall_macro,0.506425001205466
2,8428,1.9743453369753927,binary/accuracy,0.6574
2,8428,1.9743453369753927,binary/macro_f1,0.42591428930501446
2,8428,1.9743453369753927,binary/weighted_f1,0.5377565192911902
2,8428,1.9743453369753927,binary/precision_macro,0.6335043053045605
2,8428,1.9743453369753927,binary/recall_macro,0.5106473113869641
3,12642,1.9709995459423961,binary/accuracy,0.658
3,12642,1.9709995459423961,binary/macro_f1,0.43715103364085733
3,12642,1.9709995459423961,binary/weighted_f1,0.5453190778282535
3,12642,1.9709995459423961,binary/precision_macro,0.6226028700848845
3,12642,1.9709995459423961,binary/recall_macro,0.5142222907527424
4,16856,1.9672027302399369,binary/accuracy,0.659
4,16856,1.9672027302399369,binary/macro_f1,0.47133615647060667
4,16856,1.9672027302399369,binary/weighted_f1,0.5679713817052793
4,16856,1.9672027302399369,binary/precision_macro,0.6071790699867949
4,16856,1.9672027302399369,binary/recall_macro,0.5256897605688458
5,21070,1.9580383057214097,binary/accuracy,0.6582
5,21070,1.9580383057214097,binary/macro_f1,0.4697038949426632
5,21070,1.9580383057214097,binary/weighted_f1,0.5667025615504977
5,21070,1.9580383057214097,binary/precision_macro,0.6036052407499162
5,21070,1.9580383057214097,binary/recall_macro,0.5246711638937417
6,25284,1.945291401143882,binary/accuracy,0.6554
6,25284,1.945291401143882,binary/macro_f1,0.48412676313825537
6,25284,1.945291401143882,binary/weighted_f1,0.5753218847439188
6,25284,1.945291401143882,binary/precision_macro,0.5901351148004159
6,25284,1.945291401143882,binary/recall_macro,0.5283537962287372
7,29498,1.9284592087256383,binary/accuracy,0.6554
7,29498,1.9284592087256383,binary/macro_f1,0.4757395191566849
7,29498,1.9284592087256383,binary/weighted_f1,0.5698970789836905
7,29498,1.9284592087256383,binary/precision_macro,0.5901855592022216
7,29498,1.9284592087256383,binary/recall_macro,0.5252379536857321
8,33712,1.9133157724444765,binary/accuracy,0.6454
8,33712,1.9133157724444765,binary/macro_f1,0.5290780367892843
8,33712,1.9133157724444765,binary/weighted_f1,0.6008840293708689
8,33712,1.9133157724444765,binary/precision_macro,0.5757613516060145
8,33712,1.9133157724444765,binary/recall_macro,0.5441380706291791
9,37926,1.8995396079584836,binary/accuracy,0.6456
9,37926,1.8995396079584836,binary/macro_f1,0.5218064877150683
9,37926,1.8995396079584836,binary/weighted_f1,0.5964524184717842
9,37926,1.8995396079584836,binary/precision_macro,0.5739005410586588
9,37926,1.8995396079584836,binary/recall_macro,0.5403624452042854
10,42140,1.8879584109947247,binary/accuracy,0.6498
10,42140,1.8879584109947247,binary/macro_f1,0.5244564368691341
10,42140,1.8879584109947247,binary/weighted_f1,0.5993598361066675
10,42140,1.8879584109947247,binary/precision_macro,0.5817109634551495
10,42140,1.8879584109947247,binary/recall_macro,0.5434409315487845


