epoch,step,train_loss,metric_key,metric_value
1,2107,0.40016727625446746,binary/accuracy,0.6536
1,2107,0.40016727625446746,binary/macro_f1,0.3958101878402405
1,2107,0.40016727625446746,binary/weighted_f1,0.5168908895711257
1,2107,0.40016727625446746,binary/precision_macro,0.826765353070614
1,2107,0.40016727625446746,binary/recall_macro,0.5002885170225043
2,4214,0.3769332410093162,binary/accuracy,0.6638
2,4214,0.3769332410093162,binary/macro_f1,0.4487393511757265
2,4214,0.3769332410093162,binary/weighted_f1,0.5543759298809572
2,4214,0.3769332410093162,binary/precision_macro,0.6719293428519129
2,4214,0.3769332410093162,binary/recall_macro,0.5212345702562352
3,6321,0.3410644666081817,binary/accuracy,0.6562
3,6321,0.3410644666081817,binary/macro_f1,0.41283118592592905
3,6321,0.3410644666081817,binary/weighted_f1,0.528807501797201
3,6321,0.3410644666081817,binary/precision_macro,0.6510669089929995
3,6321,0.3410644666081817,binary/recall_macro,0.5063422523685861
4,8428,0.28121834067609225,binary/accuracy,0.6574
4,8428,0.28121834067609225,binary/macro_f1,0.46001225233145143
4,8428,0.28121834067609225,binary/weighted_f1,0.5601752708308075
4,8428,0.28121834067609225,binary/precision_macro,0.6021780942795296
4,8428,0.28121834067609225,binary/recall_macro,0.5209431389203723
5,10535,0.20763588179562348,binary/accuracy,0.6526
5,10535,0.20763588179562348,binary/macro_f1,0.4869664975831899
5,10535,0.20763588179562348,binary/weighted_f1,0.5764004267304573
5,10535,0.20763588179562348,binary/precision_macro,0.5812774181893576
5,10535,0.20763588179562348,binary/recall_macro,0.5279722861163347
6,12642,0.14895560677456357,binary/accuracy,0.6554
6,12642,0.14895560677456357,binary/macro_f1,0.5189416649621623
6,12642,0.14895560677456357,binary/weighted_f1,0.5975474050853479
6,12642,0.14895560677456357,binary/precision_macro,0.5919461702089196
6,12642,0.14895560677456357,binary/recall_macro,0.5431201804542831
7,14749,0.1162212429420981,binary/accuracy,0.6526
7,14749,0.1162212429420981,binary/macro_f1,0.5420064945957558
7,14749,0.1162212429420981,binary/weighted_f1,0.611054291620628
7,14749,0.1162212429420981,binary/precision_macro,0.5900542149149945
7,14749,0.1162212429420981,binary/recall_macro,0.5539827977796818
8,16856,0.09766755606797906,binary/accuracy,0.6594
8,16856,0.09766755606797906,binary/macro_f1,0.5292552519551387
8,16856,0.09766755606797906,binary/weighted_f1,0.6051936481136846
8,16856,0.09766755606797906,binary/precision_macro,0.6013932667278965
8,16856,0.09766755606797906,binary/recall_macro,0.5498388208087626
9,18963,0.08730209486456929,binary/accuracy,0.6608
9,18963,0.08730209486456929,binary/macro_f1,0.5315984358039085
9,18963,0.08730209486456929,binary/weighted_f1,0.6070726168689521
9,18963,0.08730209486456929,binary/precision_macro,0.6045315178057914
9,18963,0.08730209486456929,binary/recall_macro,0.5515874971364663
10,21070,0.07964320165225834,binary/accuracy,0.662
10,21070,0.07964320165225834,binary/macro_f1,0.5354054068913948
10,21070,0.07964320165225834,binary/weighted_f1,0.6098100451399008
10,21070,0.07964320165225834,binary/precision_macro,0.6071405165365215
10,21070,0.07964320165225834,binary/recall_macro,0.5539959563460586
11,23177,0.07491385308077747,binary/accuracy,0.6576
11,23177,0.07491385308077747,binary/macro_f1,0.5244096735072408
11,23177,0.07491385308077747,binary/weighted_f1,0.601625834066535
11,23177,0.07491385308077747,binary/precision_macro,0.5972300825304786
11,23177,0.07491385308077747,binary/recall_macro,0.5467002819465706
12,25284,0.07008941887533553,binary/accuracy,0.65
12,25284,0.07008941887533553,binary/macro_f1,0.5232625015827685
12,25284,0.07008941887533553,binary/weighted_f1,0.5986757376463966
12,25284,0.07008941887533553,binary/precision_macro,0.5818042682185748
12,25284,0.07008941887533553,binary/recall_macro,0.5429166200818092
13,27391,0.06808624918015446,binary/accuracy,0.6458
13,27391,0.06808624918015446,binary/macro_f1,0.5255752955403381
13,27391,0.06808624918015446,binary/weighted_f1,0.5988469271021661
13,27391,0.06808624918015446,binary/precision_macro,0.5753333333333334
13,27391,0.06808624918015446,binary/recall_macro,0.5424120906206622
14,29498,0.06482571524789572,binary/accuracy,0.6572
14,29498,0.06482571524789572,binary/macro_f1,0.5518772421824802
14,29498,0.06482571524789572,binary/weighted_f1,0.6185295154877918
14,29498,0.06482571524789572,binary/precision_macro,0.5990313184952079
14,29498,0.06482571524789572,binary/recall_macro,0.5612960463718477
15,31605,0.06290584312086438,binary/accuracy,0.6584
15,31605,0.06290584312086438,binary/macro_f1,0.5269092259570172
15,31605,0.06290584312086438,binary/weighted_f1,0.6034292742809686
15,31605,0.06290584312086438,binary/precision_macro,0.5991129696003286
15,31605,0.06290584312086438,binary/recall_macro,0.5482607642813276
16,33712,0.05997059320004177,binary/accuracy,0.6566
16,33712,0.05997059320004177,binary/macro_f1,0.531593845104932
16,33712,0.05997059320004177,binary/weighted_f1,0.6058328856039774
